"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"94","December-3-2022","Netherlands","United States","Xavi Simons","25","FW,AM","19-226","1.nl PSV Eindhoven","9","0","0","0","0","0","0","0","0","11","1","0","0","0.0","0.0","0.0","0","0","6","10","60.0","3","6","3","0","0"
"95","December-3-2022","Netherlands","United States","Cody Gakpo","8","AM,FW","23-210","1.nl PSV Eindhoven","89","0","0","0","0","1","0","0","0","41","2","0","2","0.0","0.0","0.2","7","1","22","30","73.3","7","23","6","3","3"
"96","December-3-2022","Netherlands","United States","Wout Weghorst","19","FW,AM","30-118","1.tr Beşiktaş","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","1","0","0","0"
"97","December-3-2022","Netherlands","United States","Davy Klaassen","14","AM","29-285","1.nl Ajax","45","0","0","0","0","0","0","0","0","20","1","0","0","0.0","0.0","0.0","2","1","9","16","56.3","2","7","0","0","0"
"98","December-3-2022","Netherlands","United States","Teun Koopmeiners","20","CM","24-278","1.it Atalanta","45","0","0","0","0","1","1","1","0","31","3","1","0","0.0","0.0","0.0","1","0","13","24","54.2","2","15","0","0","0"
"99","December-3-2022","Netherlands","United States","Frenkie de Jong","21","CM","25-205","1.es Barcelona","90","0","0","0","0","0","0","1","0","55","1","2","2","0.0","0.0","0.0","2","1","34","43","79.1","2","27","0","1","0"
"100","December-3-2022","Netherlands","United States","Marten de Roon","15","CM","31-249","1.it Atalanta","45","0","0","0","0","0","0","0","0","21","1","0","0","0.0","0.0","0.0","0","0","12","17","70.6","0","7","0","0","0"
"101","December-3-2022","Netherlands","United States","Steven Bergwijn","7","FW","25-056","1.nl Ajax","45","0","0","0","0","1","0","0","0","27","0","0","2","0.4","0.4","0.0","1","0","19","20","95.0","1","18","1","2","0"
"102","December-3-2022","Netherlands","United States","Daley Blind","17","WB","32-269","1.nl Ajax","90","1","1","0","0","2","1","0","0","54","7","1","2","0.2","0.2","0.4","1","1","31","40","77.5","1","29","1","2","1"
"103","December-3-2022","Netherlands","United States","Denzel Dumfries","22","WB","26-229","1.it Inter","90","1","2","0","0","1","1","0","0","69","1","3","3","0.4","0.4","0.3","2","2","29","50","58.0","4","43","5","2","0"
"104","December-3-2022","Netherlands","United States","Nathan Aké","5","CB","27-288","1.eng Manchester City","89","0","0","0","0","0","0","0","0","45","0","3","0","0.0","0.0","0.0","0","0","31","33","93.9","0","17","0","0","0"
"105","December-3-2022","Netherlands","United States","Matthijs de Ligt","3","CB","23-113","1.de Bayern Munich","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0"
"106","December-3-2022","Netherlands","United States","Virgil van Dijk","4","CB","31-148","1.eng Liverpool","90","0","0","0","0","1","0","0","0","61","1","0","4","0.1","0.1","0.0","2","0","44","49","89.8","1","28","0","0","0"
"107","December-3-2022","Netherlands","United States","Jurriën Timber","2","CB","21-169","1.nl Ajax","90","0","0","0","0","0","0","0","0","56","3","2","1","0.0","0.0","0.0","0","0","35","43","81.4","1","36","0","0","0"
"108","December-3-2022","Netherlands","United States","Andries Noppert","23","GK","28-240","1.nl Heerenveen","90","0","0","0","0","0","0","0","0","40","0","0","0","0.0","0.0","0.0","0","0","24","37","64.9","0","25","0","0","0"
"109","December-3-2022","United States","Netherlands","Jesús Ferreira","9","FW","21-344","1.us FC Dallas","45","0","0","0","0","0","0","0","0","24","1","0","0","0.0","0.0","0.0","1","0","16","19","84.2","0","10","0","1","0"
"110","December-3-2022","United States","Netherlands","Gio Reyna","7","RW,FW","20-020","1.de Dortmund","45","0","0","0","0","2","0","0","0","38","0","0","1","0.1","0.1","0.2","2","0","24","34","70.6","2","21","2","0","0"
"111","December-3-2022","United States","Netherlands","Christian Pulisic","10","LW","24-076","1.eng Chelsea","90","0","1","0","0","3","3","0","0","51","0","0","0","0.5","0.5","0.3","4","1","19","38","50.0","3","32","6","5","1"
"112","December-3-2022","United States","Netherlands","Timothy Weah","21","RW","22-284","1.fr Lille","66","0","0","0","0","2","1","0","0","26","0","0","0","0.0","0.0","0.1","2","0","21","24","87.5","1","18","3","0","0"
"113","December-3-2022","United States","Netherlands","Brenden Aaronson","11","LM","22-042","1.eng Leeds United","24","0","0","0","0","0","0","0","0","18","1","0","2","0.0","0.0","0.0","1","0","8","9","88.9","0","10","0","4","1"
"114","December-3-2022","United States","Netherlands","Weston McKennie","8","LM","24-097","1.it Juventus","66","0","0","0","0","3","1","0","0","52","0","0","0","0.1","0.1","0.3","6","0","32","44","72.7","5","31","2","0","0"
"115","December-3-2022","United States","Netherlands","Haji Wright","19","FW","24-251","1.tr Antalyaspor","24","1","0","0","0","2","1","0","0","14","1","0","0","0.2","0.2","0.0","1","0","9","9","100.0","1","7","1","0","0"
"116","December-3-2022","United States","Netherlands","Tyler Adams","4","CM","23-292","1.eng Leeds United","90","0","0","0","0","0","0","0","0","89","1","1","2","0.0","0.0","0.4","3","0","75","83","90.4","9","58","3","0","0"
"117","December-3-2022","United States","Netherlands","Yunus Musah","6","RM","20-004","1.es Valencia","90","0","0","0","0","1","0","0","0","60","2","1","0","0.1","0.1","0.0","3","0","38","51","74.5","4","30","3","2","1"
"118","December-3-2022","United States","Netherlands","Antonee Robinson","5","LB","25-117","1.eng Fulham","89","0","0","0","0","0","0","0","0","87","2","4","1","0.0","0.0","0.0","3","0","57","77","74.0","7","51","6","2","1"
"119","December-3-2022","United States","Netherlands","Jordan Morris","16","LB","28-038","1.us Seattle","1","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","0","0","0","0"
"120","December-3-2022","United States","Netherlands","Tim Ream","13","CB","35-059","1.eng Fulham","90","0","0","0","0","1","0","0","0","95","2","1","0","0.3","0.3","0.0","1","0","75","88","85.2","5","54","2","0","0"
"121","December-3-2022","United States","Netherlands","Walker Zimmerman","3","CB","29-198","1.us Nashville","90","0","0","0","0","1","0","0","0","89","2","3","2","0.1","0.1","0.0","2","0","66","75","88.0","3","50","0","0","0"
"122","December-3-2022","United States","Netherlands","Sergiño Dest","2","RB","22-030","1.it Milan","74","0","0","0","0","2","0","0","0","52","1","1","0","0.1","0.1","0.0","0","0","31","36","86.1","5","37","6","7","1"
"123","December-3-2022","United States","Netherlands","DeAndre Yedlin","22","RB","29-147","1.us Inter Miami","16","0","0","0","0","0","0","0","0","12","1","0","0","0.0","0.0","0.0","1","1","7","10","70.0","2","5","1","0","0"
